Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
PINNACLE WEST CAPITAL CORP;1075;PNW;31/12/2018;2018;INDL;C;D;STD;USD;17664,2;1203,35;773,69;1356,04;1356,04;511,05;3691,25;A
ABBOTT LABORATORIES;1078;ABT;31/12/2018;2018;INDL;C;D;STD;USD;67173;1394;4284;7562;19201;2368;30578;A
ADVANCED MICRO DEVICES;1161;AMD;31/12/2018;2018;INDL;C;D;STD;USD;4556;163;496;590;2586;337;6475;A
AIR PRODUCTS & CHEMICALS INC;1209;APD;30/09/2018;2018;INDL;C;D;STD;USD;19178,3;1568,4;1891,3;2862;3687,3;1497,8;8930,2;A
HONEYWELL INTERNATIONAL INC;1300;HON;31/12/2018;2018;INDL;C;D;STD;USD;57773;828;7755;8871;14683;6765;41802;A
HESS CORP;1380;HES;31/12/2018;2018;INDL;C;D;STD;USD;21433;2097;639;2543;3266;-282;6323;A
AMERICAN ELECTRIC POWER CO;1440;AEP;31/12/2018;2018;INDL;C;D;STD;USD;68802,8;6357;2738,7;5025,3;5025,3;1923,8;16195,7;A
AMERICAN EXPRESS CO;1447;AXP;31/12/2018;2018;INDL;C;D;STD;USD;188602;1311;8967;10260;10260;6921;43281;A
AFLAC INC;1449;AFL;31/12/2018;2018;INDL;C;D;STD;USD;140406;0;4290;4338;4338;2920;21768;A
AMERICAN INTERNATIONAL GROUP;1487;AIG;31/12/2018;2018;INDL;C;D;STD;USD;491984;0;2225;7587;7587;-6;47560;A
AMGEN INC;1602;AMGN;31/12/2018;2018;INDL;C;D;STD;USD;66416;738;10563;12509;21593;8394;23747;A
ANALOG DEVICES INC;1632;ADI;31/10/2018;2018;INDL;C;D;STD;USD;20449,78;254,88;1968,65;2767,72;4603,46;1495,43;6200,94;A
NABORS INDUSTRIES LTD;1661;NBR;31/12/2018;2018;INDL;C;D;STD;USD;7853,94;458,94;-118,13;748,74;1080,65;-640,95;3057,62;A
APA CORP;1678;APA;31/12/2018;2018;INDL;C;D;STD;USD;21582;3904;1494;4221;4941;40;7331;A
APPLE INC;1690;AAPL;30/09/2018;2018;INDL;C;D;STD;USD;365725;13313;70662;79962;110903;59531;265359;A
APPLIED MATERIALS INC;1704;AMAT;31/10/2018;2018;INDL;C;D;STD;USD;17773;622;4801;5258;8255;3313;17253;A
ARCHER-DANIELS-MIDLAND CO;1722;ADM;31/12/2018;2018;INDL;C;D;STD;USD;40833;842;2020;2961;5122;1810;64341;A
AUTODESK INC;1878;ADSK;31/01/2018;2017;INDL;C;D;STD;USD;4113,6;50,7;-393,6;-289,4;1837,2;-566,9;2056,6;A
AUTOMATIC DATA PROCESSING;1891;ADP;30/06/2018;2018;INDL;C;D;STD;USD;37088,7;206,1;2625,1;3002,7;5860,8;1620,8;13325,8;A
AVERY DENNISON CORP;1913;AVY;31/12/2018;2018;INDL;C;D;STD;USD;5177,5;226,7;788;964,9;2092,4;467,4;7159;A
AVON PRODUCTS;1920;AVP;31/12/2018;2018;INDL;C;D;STD;USD;3010;94,9;246,6;349,1;3238,1;-19,5;5402,9;A
BANK OF NEW YORK MELLON CORP;2019;BK;31/12/2018;2018;INDL;C;D;STD;USD;362873;1108;7999;9338;16403;4266;19213;A
BAXTER INTERNATIONAL INC;2086;BAX;31/12/2018;2018;INDL;C;D;STD;USD;15641;681;1767;2540;5606;1624;11127;A
BECTON DICKINSON & CO;2111;BDX;30/09/2018;2018;INDL;C;D;STD;USD;53904;895;2736;4591;9612;311;15983;A
VERIZON COMMUNICATIONS INC;2136;VZ;31/12/2018;2018;INDL;C;D;STD;USD;264829;16658;29791;47171;75658;15528;130863;A
BEMIS CO INC;2154;BMS;31/12/2018;2018;INDL;C;D;STD;USD;3571;143,5;389,2;556,8;972,7;225,7;4089,9;I
BERKSHIRE HATHAWAY;2176;BRK.B;31/12/2018;2018;INDL;C;D;STD;USD;707794;14537;10021;19800;19800;4021;225382;A
BEST BUY CO INC;2184;BBY;31/01/2018;2017;INDL;C;D;STD;USD;13049;688;1953;2636;10559;1000;42151;A
BLOCK H & R INC;2269;HRB;30/04/2018;2017;INDL;C;D;STD;USD;3140,95;98,58;752,05;935,35;1603,5;613,15;3159,93;A
BOEING CO;2285;BA;31/12/2018;2018;INDL;C;D;STD;USD;117359;1722;11870;13698;21534;10460;101127;A
ROBERT HALF INC;2312;RHI;31/12/2018;2018;INDL;C;D;STD;USD;1903,1;42,48;587,22;653,17;2474,26;434,29;5800,27;A
BRISTOL-MYERS SQUIBB CO;2403;BMY;31/12/2018;2018;INDL;C;D;STD;USD;34986;951;5238;5941;16758;4920;22561;A
BROWN FORMAN CORP;2435;BF.B;30/04/2018;2017;INDL;C;D;STD;USD;4976;128;1093;1157;2266;717;3248;A
CIGNA GROUP (THE);2547;CI;31/12/2018;2018;INDL;C;D;STD;USD;153226;528;4774;5453;17360;2637;48489;A
CSX CORP;2574;CSX;31/12/2018;2018;INDL;C;D;STD;USD;36729;1745;4773;6104;6104;3309;12250;A
CAMPBELL SOUP CO;2663;CPB;31/07/2018;2018;INDL;C;D;STD;USD;14529;407;1317;1711;3274;261;8685;A
CONSTELLATION BRANDS;2710;STZ;28/02/2018;2017;INDL;C;D;STD;USD;20538,7;1057,6;2447,5;2747,2;4116,9;2318,9;7585;A
CARDINAL HEALTH INC;2751;CAH;30/06/2018;2018;INDL;C;D;STD;USD;39951;384;1987;3007;7603;256;136809;A
CATERPILLAR INC;2817;CAT;31/12/2018;2018;INDL;C;D;STD;USD;78509;2916;9578;12344;19672;6147;54722;A
JPMORGAN CHASE & CO;2968;JPM;31/12/2018;2018;INDL;C;D;STD;USD;2622532;0;59298;67089;104158;32474;131412;A
CHEVRON CORP;2991;CVX;31/12/2018;2018;INDL;C;D;STD;USD;253863;13792;14446;33865;38913;14824;158902;A
CINTAS CORP;3062;CTAS;31/05/2018;2017;INDL;C;D;STD;USD;6958,21;271,7;1031,73;1308,41;3162,4;842,59;6476,63;A
CLEVELAND-CLIFFS INC;3107;CLF;31/12/2018;2018;INDL;C;D;STD;USD;3529,6;208,6;668,6;741,6;882,5;1128,1;2333,4;A
CLOROX CO/DE;3121;CLX;30/06/2018;2018;INDL;C;D;STD;USD;5060;194;1125;1291;2830;823;6124;A
COCA-COLA CO;3144;KO;31/12/2018;2018;INDL;C;D;STD;USD;83216;1347;9748;10814;21152;6434;31856;A
COLGATE-PALMOLIVE CO;3170;CL;31/12/2018;2018;INDL;C;D;STD;USD;12161;436;3847;4358;9714;2400;15544;A
