Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
AON PLC;3221;AON;31/12/2018;2018;INDL;C;D;STD;USD;26422;240;2282;2862;2862;1134;10770;A
COMCAST CORP;3226;CMCSA;31/12/2018;2018;INDL;C;D;STD;USD;251684;10377;19182;30199;30199;11731;94507;A
COMERICA INC;3231;CMA;31/12/2018;2018;INDL;C;D;STD;USD;70818;90;2000;2120;3329;1235;3595;A
CITIGROUP INC;3243;C;31/12/2018;2018;INDL;C;D;STD;USD;1917383;3774;37695;41449;41449;18045;96720;A
CONAGRA BRANDS INC;3362;CAG;31/05/2018;2017;INDL;C;D;STD;USD;10389,5;251,6;1279,2;1532,7;2614,9;808,4;7938,3;A
CONSOLIDATED EDISON INC;3413;ED;31/12/2018;2018;INDL;C;D;STD;USD;53920;3251;2533;3971;3971;1382;12337;A
CMS ENERGY CORP;3439;CMS;31/12/2018;2018;INDL;C;D;STD;USD;24529;2074;1162;2095;2095;657;6873;A
MOLSON COORS BEVERAGE CO;3505;TAP;31/12/2018;2018;INDL;C;D;STD;USD;30109,8;651,7;1425,8;2252,6;4792,4;1116,5;10769,6;A
CORNING INC;3532;GLW;31/12/2018;2018;INDL;C;D;STD;USD;27505;2242;1840;3133;5757;1066;11290;A
CUMMINS INC;3650;CMI;31/12/2018;2018;INDL;C;D;STD;USD;19062;709;2378;2986;6325;2141;23771;A
DANAHER CORP;3735;DHR;31/12/2018;2018;INDL;C;D;STD;USD;47832,5;655,7;3473,8;4781,5;12431,6;2650,9;19893;A
TARGET CORP;3813;TGT;31/01/2018;2017;INDL;C;D;STD;USD;38999;2533;4307;6752;21005;2934;71879;A
DEERE & CO;3835;DE;31/10/2018;2018;INDL;C;D;STD;USD;70108;2950,1;4565,3;6492,4;11575,5;2368,4;36577,7;A
DTE ENERGY CO;3897;DTE;31/12/2018;2018;INDL;C;D;STD;USD;36288;2713;1586;2710;2710;1120;14212;A
DISNEY (WALT) CO;3980;DIS;30/09/2018;2018;INDL;C;D;STD;USD;98598;4465;14837;17848;26708;12598;59434;A
DOMINION ENERGY INC;4029;D;31/12/2018;2018;INDL;C;D;STD;USD;77914;4254;4227;6227;6227;2447;13581;A
DONNELLEY (R R) & SONS CO;4040;RRD;31/12/2018;2018;INDL;C;D;STD;USD;3640,8;104,4;251,9;433,3;1255,4;-11;6800,2;I
DOVER CORP;4058;DOV;31/12/2018;2018;INDL;C;D;STD;USD;8365,77;170,99;901,62;1184,2;2859,06;570,27;6992,12;A
DUPONT DE NEMOURS INC;4060;DD;31/12/2018;2018;INDL;C;D;STD;USD;188030;3837;10600;16343;26112;3844;85977;A
OMNICOM GROUP INC;4066;OMC;31/12/2018;2018;INDL;C;D;STD;USD;24617;195,7;2104,5;2368,5;2821,7;1326,4;15290,2;A
DUKE ENERGY CORP;4093;DUK;31/12/2018;2018;INDL;C;D;STD;USD;145392;9389;5121;9195;9195;2666;24521;A
DUN & BRADSTREET HOLDNGS INC;4094;DNB;31/12/2018;2018;INDL;C;D;STD;USD;1820,9;5,1;468,8;557,5;1153;288,1;1716,4;A
FLOWSERVE CORP;4108;FLS;31/12/2018;2018;INDL;C;D;STD;USD;4616,28;83,99;356,64;466,52;1348,14;119,67;3832,67;A
EATON CORP PLC;4199;ETN;31/12/2018;2018;INDL;C;D;STD;USD;31092;565;2966;3807;7939;2145;21609;A
ECOLAB INC;4213;ECL;31/12/2018;2018;INDL;C;D;STD;USD;20074,5;847,1;2083;3021,3;6989,9;1429,1;14668,2;A
EMERSON ELECTRIC CO;4321;EMR;30/09/2018;2018;INDL;C;D;STD;USD;20390;617;3030;3788;8046;2203;17408;A
EQUIFAX INC;4423;EFX;31/12/2018;2018;INDL;C;D;STD;USD;7153,2;321,9;838,8;1149,2;2118,2;299,8;3412,1;A
EQT CORP;4430;EQT;31/12/2018;2018;INDL;C;D;STD;USD;20721,34;2999,04;535,67;2146,08;2146,08;-2244,57;4557,87;A
EXPEDITORS INTL WASH INC;4494;EXPD;31/12/2018;2018;INDL;C;D;STD;USD;3314,56;47,47;796,56;850,58;1074,3;618,2;8138,37;A
EXXON MOBIL CORP;4503;XOM;31/12/2018;2018;INDL;C;D;STD;USD;346196;19574;22124;40869;53815;20840;279332;A
FMC CORP;4510;FMC;31/12/2018;2018;INDL;C;D;STD;USD;9974,3;156,6;1136,3;1288,1;2308,3;502,1;4727,8;A
NEXTERA ENERGY INC;4517;NEE;31/12/2018;2018;INDL;C;D;STD;USD;103702;5279;4315;8226;8226;6638;16727;A
FEDEX CORP;4598;FDX;31/05/2018;2017;INDL;C;D;STD;USD;52330;5663;5945;9040;18005;4572;65450;A
MACY'S INC;4611;M;31/01/2018;2017;INDL;C;D;STD;USD;19381;487;1383;2374;10676;1547;24837;A
FIFTH THIRD BANCORP;4640;FITB;31/12/2018;2018;INDL;C;D;STD;USD;146069;192;3339;3582;6112;2193;7392;A
REGIONS FINANCIAL CORP;4674;RF;31/12/2018;2018;INDL;C;D;STD;USD;125688;151;2918;2918;5525;1759;6412;A
M & T BANK CORP;4699;MTB;31/12/2018;2018;INDL;C;D;STD;USD;120097,4;97,68;3566,21;3745,21;5796,3;1918,08;6454,71;A
US BANCORP;4723;USB;31/12/2018;2018;INDL;C;D;STD;USD;467374;0;12219;12686;21142;7096;25775;A
FIRST HORIZON CORP;4737;FHN;31/12/2018;2018;INDL;C;D;STD;USD;40832,26;47,99;1119,8;1192,89;1936,12;545,04;2268,82;A
FLUOR CORP;4818;FLR;31/12/2018;2018;INDL;C;D;STD;USD;8913,64;211;407,52;624,18;761,64;224,83;19166,6;A
FORD MOTOR CO;4839;F;31/12/2018;2018;INDL;C;D;STD;USD;256540;7785;7907;17187;30257;3677;160338;A
FRANKLIN RESOURCES INC;4885;BEN;30/09/2018;2018;INDL;C;D;STD;USD;14383,5;106,5;2138,3;2219;2219;764,4;6319,1;A
GAP INC;4990;GPS;31/01/2018;2017;INDL;C;D;STD;USD;7989;731;1415;1971;6622;848;15855;A
GENERAL DYNAMICS CORP;5046;GD;31/12/2018;2018;INDL;C;D;STD;USD;45408;690;4457;5220;7478;3345;36193;A
GE AEROSPACE;5047;GE;31/12/2018;2018;INDL;C;D;STD;USD;309129;7695;11115;19339;35778;-22355;121615;A
GENERAL MILLS INC;5071;GIS;31/05/2018;2017;INDL;C;D;STD;USD;30624;622,7;2734,2;3353;6071,6;2131;15740,4;A
GENUINE PARTS CO;5125;GPC;31/12/2018;2018;INDL;C;D;STD;USD;12683,04;232,42;1140,02;1381,65;5983,79;810,47;18735,07;A
GOODYEAR TIRE & RUBBER CO;5234;GT;31/12/2018;2018;INDL;C;D;STD;USD;16872;811;1162;1936;4240;693;15475;A
GRAINGER (W W) INC;5256;GWW;31/12/2018;2018;INDL;C;D;STD;USD;5873;239;1344;1598;4602;782;11221;A
HALLIBURTON CO;5439;HAL;31/12/2018;2018;INDL;C;D;STD;USD;25982;2026;2732;4338;4592;1656;23995;A
HASBRO INC;5518;HAS;31/12/2018;2018;INDL;C;D;STD;USD;5262,99;140,43;598,32;766,28;2482,86;220,43;4579,65;A
HELMERICH & PAYNE;5581;HP;30/09/2018;2018;INDL;C;D;STD;USD;6214,87;466,58;22,68;606,48;824,07;482,67;2494,17;A
HERSHEY CO;5597;HSY;31/12/2018;2018;INDL;C;D;STD;USD;7703,02;328,6;1775,39;2035,83;3853,28;1177,56;7791,07;A
HP INC;5606;HPQ;31/10/2018;2018;INDL;C;D;STD;USD;34622;546;4326;4854;11117;5327;58472;A
HOME DEPOT INC;5680;HD;31/01/2018;2017;INDL;C;D;STD;USD;44529;1897;14851;16662;34356;8630;100904;A
HORMEL FOODS CORP;5709;HRL;31/10/2018;2018;INDL;C;D;STD;USD;8142,29;389,61;1157,23;1319,09;2157,29;1012,14;9545,7;A
CENTERPOINT ENERGY INC;5742;CNP;31/12/2018;2018;INDL;C;D;STD;USD;27009;1651;924;2167;2167;368;10589;A
HUNTINGTON BANCSHARES;5786;HBAN;31/12/2018;2018;INDL;C;D;STD;USD;108781;110;1875;2368;4275;1393;5270;A
ILLINOIS TOOL WORKS;5878;ITW;31/12/2018;2018;INDL;C;D;STD;USD;14870;364;3584;4045;6436;2563;14768;A
INTEL CORP;6008;INTC;31/12/2018;2018;INDL;C;D;STD;USD;127963;15181;23244;32329;52622;21053;70848;A
INTL BUSINESS MACHINES CORP;6066;IBM;31/12/2018;2018;INDL;C;D;STD;USD;123382;3396;12961;17441;41735;8728;79591;A
INTL FLAVORS & FRAGRANCES;6078;IFF;31/12/2018;2018;INDL;C;D;STD;USD;12889,4;170,09;677,33;840,14;1788,33;337,3;3977,54;A
INTL PAPER CO;6104;IP;31/12/2018;2018;INDL;C;D;STD;USD;33576;1572;3025;4347;6058;2012;23306;A
INTERPUBLIC GROUP OF COS;6136;IPG;31/12/2018;2018;INDL;C;D;STD;USD;15620,3;177,1;1043,8;1246,7;1378,2;618,9;9714,4;A
JOHNSON & JOHNSON;6266;JNJ;31/12/2018;2018;INDL;C;D;STD;USD;152954;3670;21389;28318;61633;15297;81581;A
JOHNSON CONTROLS INTL PLC;6268;JCI;30/09/2018;2018;INDL;C;D;STD;USD;48797;1030;3256;4341;10465;2162;31400;A
KLA CORP;6304;KLAC;30/06/2018;2018;INDL;C;D;STD;USD;5619,36;66,96;1540,21;1598,11;2647,64;802,27;4036,7;A
KINDER MORGAN INC;6310;KMI;31/12/2018;2018;INDL;C;D;STD;USD;78866;2904;3958;6255;6255;1609;14144;A
KELLANOVA;6375;K;31/12/2018;2018;INDL;C;D;STD;USD;17780;578;1887;2403;5343;1336;13547;A
KIMBERLY-CLARK CORP;6435;KMB;31/12/2018;2018;INDL;C;D;STD;USD;14518;877;3151;4033;7020;1410;18486;A
KROGER CO;6502;KR;31/01/2018;2017;INDL;C;D;STD;USD;37197;2809;2881;5317;27000;1907;122662;A
LAM RESEARCH CORP;6565;LRCX;30/06/2018;2018;INDL;C;D;STD;USD;12479,48;273,47;3218,24;3544,64;5424,8;2380,68;11077;A
LEGGETT & PLATT INC;6649;LEG;31/12/2018;2018;INDL;C;D;STD;USD;3382;159,6;467,3;592,1;997,6;305,9;4269,5;A
LEGG MASON INC;6653;LM;31/03/2018;2017;INDL;C;D;STD;USD;8152,53;37,35;595,72;668,71;668,71;285,08;3140,32;A
LENNAR CORP;6669;LEN;30/11/2018;2018;INDL;C;D;STD;USD;28566,18;130,44;2404,85;2566,6;4518,7;1695,83;20571,63;A
LILLY (ELI) & CO;6730;LLY;31/12/2018;2018;INDL;C;D;STD;USD;43908,4;1210,6;6219,6;7657,9;19596,8;3232;24555,7;A
LINCOLN NATIONAL CORP;6742;LNC;31/12/2018;2018;INDL;C;D;STD;USD;298147;0;2121;;2121;1641;16202;A
LOCKHEED MARTIN CORP;6774;LMT;31/12/2018;2018;INDL;C;D;STD;USD;44876;1278;7455;8616;8616;5046;53762;A
LOEWS CORP;6781;L;31/12/2018;2018;INDL;C;D;STD;USD;78316;995;1313;2225;2225;636;14044;A
RANGE RESOURCES CORP;6788;RRC;31/12/2018;2018;INDL;C;D;STD;USD;9708,15;1023;98,98;1249,44;1459,77;-1746,48;3281,93;A
LOWE'S COS INC;6829;LOW;31/01/2018;2017;INDL;C;D;STD;USD;35291;1123;6556;8003;23409;3447;68619;A
MARATHON OIL CORP;7017;MRO;31/12/2018;2018;INDL;C;D;STD;USD;21321;2753;973;3622;4097;1096;5888;A
HOST HOTELS & RESORTS INC;7063;HST;31/12/2018;2018;INDL;C;D;STD;USD;12090;0;568;;672;1087;5569;A
MARSH & MCLENNAN COS;7065;MMC;31/12/2018;2018;INDL;C;D;STD;USD;21578;314;2966;3460;3460;1650;14950;A
MASCO CORP;7085;MAS;31/12/2018;2018;INDL;C;D;STD;USD;5393;219;1265;1415;2893;734;8359;A
MATTEL INC;7116;MAT;31/12/2018;2018;INDL;C;D;STD;USD;5238,23;152,41;-51,31;220,63;2072,57;-533,3;4544,31;A
MCCORMICK & CO INC;7146;MKC;30/11/2018;2018;INDL;C;D;STD;USD;10256,4;169,1;942,1;1081,5;2511;933,4;5408,9;A
MCDONALD'S CORP;7154;MCD;31/12/2018;2018;INDL;C;D;STD;USD;32811,2;2741,7;8585,8;9888,7;12088,9;5924,3;21025,2;A
MCKESSON CORP;7171;MCK;31/03/2018;2017;INDL;C;D;STD;USD;60381;405;3105;3911;11499;67;208357;A
MEDTRONIC PLC;7228;MDT;30/04/2018;2017;INDL;C;D;STD;USD;91393;1068;6973;9617;21804;3104;29953;A
CVS HEALTH CORP;7241;CVS;31/12/2018;2018;INDL;C;D;STD;USD;196456;2037;10791;13509;33250;-594;194579;A
MERCK & CO;7257;MRK;31/12/2018;2018;INDL;C;D;STD;USD;82637;2615;9087;13404;33123;6220;42294;A
MICRON TECHNOLOGY INC;7343;MU;31/08/2018;2018;INDL;C;D;STD;USD;43376;8879;14937;19597;22551;14135;30391;A
ENTERGY CORP;7366;ETR;31/12/2018;2018;INDL;C;D;STD;USD;48275,07;4141,02;1001,69;2759,64;2759,64;862,56;11009,45;A
3M CO;7435;MMM;31/12/2018;2018;INDL;C;D;STD;USD;36500;1577;7684;9172;17588;5349;32765;A
MOTOROLA SOLUTIONS INC;7585;MSI;31/12/2018;2018;INDL;C;D;STD;USD;9409;197;1479;1839;3730;966;7343;A
MURPHY OIL CORP;7620;MUR;31/12/2018;2018;INDL;C;D;STD;USD;11052,59;1897,43;580,23;1636,86;1916,69;411,09;2544,65;A
BANK OF AMERICA CORP;7647;BAC;31/12/2018;2018;INDL;C;D;STD;USD;2354507;0;48980;51043;88694;28147;111313;A
TENET HEALTHCARE CORP;7750;THC;31/12/2018;2018;INDL;C;D;STD;USD;22409;617;1617;2419;2419;111;18313;A
NEWELL BRANDS INC;7875;NWL;31/12/2018;2018;INDL;C;D;STD;USD;17716,4;384,4;728;1084;3358,7;-6917,9;8630,9;A
NEWMONT CORP;7881;NEM;31/12/2018;2018;INDL;C;D;STD;USD;20715;1032;848;2226;2820;341;7253;A
NIKE INC  -CL B;7906;NKE;31/05/2018;2017;INDL;C;D;STD;USD;22536;1028;4445;5192;16703;1933;36397;A
NOBLE ENERGY INC;7912;NBL;31/12/2018;2018;INDL;C;D;STD;USD;21010;3279;239;2174;2688;-66;4461;I
NORDSTROM INC;7922;JWN;31/01/2018;2017;INDL;C;D;STD;USD;8115;731;942;1608;6254;437;15478;A
NORFOLK SOUTHERN CORP;7923;NSC;31/12/2018;2018;INDL;C;D;STD;USD;36239;1951;3881;4983;4983;2666;11458;A
NISOURCE INC;7974;NI;31/12/2018;2018;INDL;C;D;STD;USD;21804;1818,2;955,3;1554,9;1554,9;-50,6;5114,5;A
XCEL ENERGY INC;7977;XEL;31/12/2018;2018;INDL;C;D;STD;USD;45987;3957;1965;3607;3607;1261;11537;A
NORTHERN TRUST CORP;7982;NTRS;31/12/2018;2018;INDL;C;D;STD;USD;132212,5;97,6;3157,2;3618,1;5982,8;1556,4;6667;A
NORTHROP GRUMMAN CORP;7985;NOC;31/12/2018;2018;INDL;C;D;STD;USD;37653;1249;3809;4609;7620;3229;30095;A
WELLS FARGO & CO;8007;WFC;31/12/2018;2018;INDL;C;D;STD;USD;1895883;0;46106;46106;84462;22393;100858;A
NUCOR CORP;8030;NUE;31/12/2018;2018;INDL;C;D;STD;USD;17920,59;982,53;3386,59;4106,22;4987,45;2360,77;25067,28;A
OCCIDENTAL PETROLEUM CORP;8068;OXY;31/12/2018;2018;INDL;C;D;STD;USD;43854;4975;4659;8636;10359;4131;17824;A
FIRSTENERGY CORP;8099;FE;31/12/2018;2018;INDL;C;D;STD;USD;40063;2675;2708;3694;3694;1348;11261;A
ONEOK INC;8151;OKE;31/12/2018;2018;INDL;C;D;STD;USD;18231,67;2141,48;1834,86;2263,42;2263,42;1151,7;12593,2;A
O-I GLASS INC;8215;OI;31/12/2018;2018;INDL;C;D;STD;USD;9699;536;708;1148;1701;257;6890;A
PNC FINANCIAL SVCS GROUP INC;8245;PNC;31/12/2018;2018;INDL;C;D;STD;USD;382315;0;8203;9332;16724;5301;19993;A
PPG INDUSTRIES INC;8247;PPG;31/12/2018;2018;INDL;C;D;STD;USD;16015;411;1881;2369;6383;1341;15384;A
PACCAR INC;8253;PCAR;31/12/2018;2018;INDL;C;D;STD;USD;25482,4;1952,3;2875,4;3929,5;4896,8;2195,1;23495,7;A
PG&E CORP;8264;PCG;31/12/2018;2018;INDL;C;D;STD;USD;76995;6514;2705;5741;5741;-6837;16759;A
SEMPRA ENERGY;8272;SRE;31/12/2018;2018;INDL;C;D;STD;USD;60638;3784;2593;4142;4142;1050;11687;A
PARKER-HANNIFIN CORP;8358;PH;30/06/2018;2018;INDL;C;D;STD;USD;15320,09;247,67;1969,16;2428,46;4043,8;1060,8;14302,39;A
PAYCHEX INC;8402;PAYX;31/05/2018;2017;INDL;C;D;STD;USD;7463,7;154;1287,5;1425,5;2501,1;933,7;3380,9;A
PPL CORP;8455;PPL;31/12/2018;2018;INDL;C;D;STD;USD;43396;3238;2865;3959;3959;1827;7785;A
PEPSICO INC;8479;PEP;31/12/2018;2018;INDL;C;D;STD;USD;77648;3282;10457;12856;37682;12515;64661;A
PFIZER INC;8530;PFE;31/12/2018;2018;INDL;C;D;STD;USD;159422;2042;15434;21818;44009;11153;53647;A
EXELON CORP;8539;EXC;31/12/2018;2018;INDL;C;D;STD;USD;119666;7594;4539;8296;8296;2010;35985;A
ALTRIA GROUP INC;8543;MO;31/12/2018;2018;INDL;C;D;STD;USD;55638;238;9647;9874;12510;6963;19627;A
CONOCOPHILLIPS;8549;COP;31/12/2018;2018;INDL;C;D;STD;USD;69980;6750;8796;15188;15862;6257;36417;A
PITNEY BOWES INC;8606;PBI;31/12/2018;2018;INDL;C;D;STD;USD;5972,9;191,44;380,73;584,02;1832,72;223,67;3522,38;A
PROCTER & GAMBLE CO;8762;PG;30/06/2018;2018;INDL;C;D;STD;USD;118310;3717;14781;17615;36217;9750;66832;A
PUBLIC SERVICE ENTRP GRP INC;8810;PEG;31/12/2018;2018;INDL;C;D;STD;USD;45326;3912;2247;3405;3405;1438;9696;A
PULTEGROUP INC;8823;PHM;31/12/2018;2018;INDL;C;D;STD;USD;10172,98;59,04;1330,6;1380,03;2392,05;1022,02;10188,33;A
RAYTHEON CO;8972;RTN;31/12/2018;2018;INDL;C;D;STD;USD;31864;763;4530;5098;8045;2909;27058;I
AUTONATION INC;9063;AN;31/12/2018;2018;INDL;C;D;STD;USD;10665,1;400,8;730,7;896,9;3397,3;396;21412,8;A
ROCKWELL AUTOMATION;9203;ROK;30/09/2018;2018;INDL;C;D;STD;USD;6262;125,5;1273,2;1437,8;3036,8;535,5;6666;A
ROSS STORES INC;9248;ROST;31/01/2018;2017;INDL;C;D;STD;USD;5722,05;371,42;2048,4;2361,56;4405,26;1362,75;14134,73;A
ROWAN COMPANIES LTD;9258;RDC;31/12/2018;2018;INDL;C;D;STD;USD;8117,7;240;-370,7;18,2;114,3;-347,4;797;I
RYDER SYSTEM INC;9299;R;31/12/2018;2018;INDL;C;D;STD;USD;13051,08;3050,41;601,42;2004,39;2859,19;273,3;8409,22;A
SCHLUMBERGER LTD;9465;SLB;31/12/2018;2018;INDL;C;D;STD;USD;70507;2260;3191;6190;7336;2138;32815;A
SEALED AIR CORP;9555;SEE;31/12/2018;2018;INDL;C;D;STD;USD;5050,2;168,6;725;856,6;1618;193,1;4732,7;A
SHERWIN-WILLIAMS CO;9667;SHW;31/12/2018;2018;INDL;C;D;STD;USD;19134,28;250,96;2551,07;3147,35;7696,73;1108,75;17534,49;A
SMUCKER (JM) CO;9777;SJM;30/04/2018;2017;INDL;C;D;STD;USD;15301,2;321,9;1270,1;1681,2;3044,3;1338,6;7357,1;A
SNAP-ON INC;9778;SNA;31/12/2018;2018;INDL;C;D;STD;USD;5373,1;90,9;951,8;1045,9;2194,2;679,9;4070,4;A
KEYCORP;9783;KEY;31/12/2018;2018;INDL;C;D;STD;USD;139613;99;3258;3258;6100;1866;7315;A
EDISON INTERNATIONAL;9846;EIX;31/12/2018;2018;INDL;C;D;STD;USD;56715;4509;2179;4050;4050;-302;12657;A
SOUTHERN CO;9850;SO;31/12/2018;2018;INDL;C;D;STD;USD;116914;8001;5253;8384;8384;2242;23495;A
SOUTHWEST AIRLINES;9882;LUV;31/12/2018;2018;INDL;C;D;STD;USD;26243;1976;3206;4407;7259;2465;21965;A
AT&T INC;9899;T;31/12/2018;2018;INDL;C;D;STD;USD;531864;21251;28144;56574;91386;19370;170805;A
SOUTHWESTERN ENERGY CO;9904;SWN;31/12/2018;2018;INDL;C;D;STD;USD;5797;1290;1016;1576;1576;537;3862;A
