Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
NABORS INDUSTRIES LTD;1661;NBR;31/12/2019;2019;INDL;C;D;STD;USD;6760,66;427,74;-76,36;799,74;1114,05;-702,89;3043,38;A
APA CORP;1678;APA;31/12/2019;2019;INDL;C;D;STD;USD;18107;2961;-2627;928;1520;-3553;6280;A
APPLE INC;1690;AAPL;30/09/2019;2019;INDL;C;D;STD;USD;338516;10495;63930;75230;109692;55256;260174;A
APPLIED MATERIALS INC;1704;AMAT;31/10/2019;2019;INDL;C;D;STD;USD;19024;441;3372;3735;6749;2706;14608;A
ARCHER-DANIELS-MIDLAND CO;1722;ADM;31/12/2019;2019;INDL;C;D;STD;USD;43997;828;1671;2663;5139;1379;64656;A
AUTODESK INC;1878;ADSK;31/01/2019;2018;INDL;C;D;STD;USD;4729,2;67;33;125,7;2358,6;-80,8;2569,8;A
AUTOMATIC DATA PROCESSING;1891;ADP;30/06/2019;2019;INDL;C;D;STD;USD;41887,7;162;3080,8;3489,8;6497,6;2292,8;14175,2;A
AVERY DENNISON CORP;1913;AVY;31/12/2019;2019;INDL;C;D;STD;USD;5488,8;219,4;823,7;998,3;2078,7;303,6;7070,1;A
BANK OF NEW YORK MELLON CORP;2019;BK;31/12/2019;2019;INDL;C;D;STD;USD;381508;1210;7730;9045;15672;4441;20007;A
BAXTER INTERNATIONAL INC;2086;BAX;31/12/2019;2019;INDL;C;D;STD;USD;18193;696;1937;2726;5705;1001;11362;A
BECTON DICKINSON & CO;2111;BDX;30/09/2019;2019;INDL;C;D;STD;USD;51765;957;2894;5024;10418;1233;17290;A
VERIZON COMMUNICATIONS INC;2136;VZ;31/12/2019;2019;INDL;C;D;STD;USD;291727;17939;30303;46985;77142;19265;131868;A
BERKSHIRE HATHAWAY;2176;BRK.B;31/12/2019;2019;INDL;C;D;STD;USD;817729;15979;105481;115545;115545;81417;327223;A
BEST BUY CO INC;2184;BBY;31/01/2019;2018;INDL;C;D;STD;USD;12901;819;1966;2736;10731;1464;42879;A
BLOCK H & R INC;2269;HRB;30/04/2019;2018;INDL;C;D;STD;USD;3299,95;95,49;615,79;782,49;1504,65;422,51;3094,88;A
BOEING CO;2285;BA;31/12/2019;2019;INDL;C;D;STD;USD;133625;1834;5952;7850;14978;-636;84818;A
ROBERT HALF INC;2312;RHI;31/12/2019;2019;INDL;C;D;STD;USD;2311,41;59,46;620,39;686,02;2594,78;454,43;6074,43;A
BRISTOL-MYERS SQUIBB CO;2403;BMY;31/12/2019;2019;INDL;C;D;STD;USD;129944;836;6738;8547;19475;3439;26145;A
BROWN FORMAN CORP;2435;BF.B;30/04/2019;2018;INDL;C;D;STD;USD;5139;121;1129;1201;2238;835;3324;A
CIGNA GROUP (THE);2547;CI;31/12/2019;2019;INDL;C;D;STD;USD;155774;1050;9020;12637;25880;5104;153699;A
CSX CORP;2574;CSX;31/12/2019;2019;INDL;C;D;STD;USD;38257;1657;4874;6223;6223;3331;11937;A
CAMPBELL SOUP CO;2663;CPB;31/07/2019;2019;INDL;C;D;STD;USD;13148;384;1192;1555;3026;211;8107;A
CONSTELLATION BRANDS;2710;STZ;28/02/2019;2018;INDL;C;D;STD;USD;29231,5;886,3;2549,2;2879,4;4420,7;3435,9;8116;A
CARDINAL HEALTH INC;2751;CAH;30/06/2019;2019;INDL;C;D;STD;USD;40963;328;1678;2664;7274;1363;145534;A
CATERPILLAR INC;2817;CAT;31/12/2019;2019;INDL;C;D;STD;USD;78453;2669;9624;12201;19056;6093;53800;A
JPMORGAN CHASE & CO;2968;JPM;31/12/2019;2019;INDL;C;D;STD;USD;2687379;0;63197;71565;110042;36431;142422;A
CHEVRON CORP;2991;CVX;31/12/2019;2019;INDL;C;D;STD;USD;237428;14116;100;29318;34231;2924;139865;A
CINTAS CORP;3062;CTAS;31/05/2019;2018;INDL;C;D;STD;USD;7436,66;276,72;1147,94;1371,58;3330,62;884,98;6892,3;A
CLEVELAND-CLIFFS INC;3107;CLF;31/12/2019;2019;INDL;C;D;STD;USD;3503,8;639;438,5;522,6;659,8;292,8;1989,9;A
CLOROX CO/DE;3121;CLX;30/06/2019;2019;INDL;C;D;STD;USD;5116;206;1107;1287;2891;820;6214;A
COCA-COLA CO;3144;KO;31/12/2019;2019;INDL;C;D;STD;USD;86381;2054;10541;11887;23993;8920;37266;A
COLGATE-PALMOLIVE CO;3170;CL;31/12/2019;2019;INDL;C;D;STD;USD;15034;335;3759;4278;9793;2367;15693;A
AON PLC;3221;AON;31/12/2019;2019;INDL;C;D;STD;USD;29405;225;2634;3184;3184;1532;11013;A
COMCAST CORP;3226;CMCSA;31/12/2019;2019;INDL;C;D;STD;USD;263414;11123;21305;34258;34258;13057;108942;A
COMERICA INC;3231;CMA;31/12/2019;2019;INDL;C;D;STD;USD;73402;86;1937;2051;3275;1198;3817;A
CITIGROUP INC;3243;C;31/12/2019;2019;INDL;C;D;STD;USD;1951158;5336;40431;44336;44336;19401;103449;A
CONAGRA BRANDS INC;3362;CAG;31/05/2019;2018;INDL;C;D;STD;USD;22213,8;353,1;1506,9;1838,5;3048,7;678,3;9538,4;A
CONSOLIDATED EDISON INC;3413;ED;31/12/2019;2019;INDL;C;D;STD;USD;58079;3238;2676;4360;4360;1343;12574;A
CMS ENERGY CORP;3439;CMS;31/12/2019;2019;INDL;C;D;STD;USD;26837;2104;1239;2231;2231;680;6845;A
MOLSON COORS BEVERAGE CO;3505;TAP;31/12/2019;2019;INDL;C;D;STD;USD;28859,8;593,8;1500,9;2328,2;4810;241,7;10579,4;A
CORNING INC;3532;GLW;31/12/2019;2019;INDL;C;D;STD;USD;28898;1987;1752;3255;5813;960;11503;A
CUMMINS INC;3650;CMI;31/12/2019;2019;INDL;C;D;STD;USD;19737;700;2505;3174;6629;2260;23571;A
DANAHER CORP;3735;DHR;31/12/2019;2019;INDL;C;D;STD;USD;62081,6;635,5;3362,4;4551,9;11173,2;3008,2;17911,1;A
TARGET CORP;3813;TGT;31/01/2019;2018;INDL;C;D;STD;USD;41290;3516;4110;6584;22307;2937;75356;A
DEERE & CO;3835;DE;31/10/2019;2019;INDL;C;D;STD;USD;73011;3449;5492;7511;12845;3253;39258;A
DTE ENERGY CO;3897;DTE;31/12/2019;2019;INDL;C;D;STD;USD;41882;2997;1725;2988;2988;1169;12669;A
DISNEY (WALT) CO;3980;DIS;30/09/2019;2019;INDL;C;D;STD;USD;193984;4876;12009;16169;27552;11054;69570;A
DOMINION ENERGY INC;4029;D;31/12/2019;2019;INDL;C;D;STD;USD;103823;4980;5593;8248;8248;1358;16572;A
DONNELLEY (R R) & SONS CO;4040;RRD;31/12/2019;2019;INDL;C;D;STD;USD;3330,1;138,8;246;415,2;1190,9;-93,2;6276,2;I
DOVER CORP;4058;DOV;31/12/2019;2019;INDL;C;D;STD;USD;8669,48;186,8;1048,66;1320,95;2902,14;677,92;7136,4;A
DUPONT DE NEMOURS INC;4060;DD;31/12/2019;2019;INDL;C;D;STD;USD;69396;2472;2788;4854;8472;498;21512;A
OMNICOM GROUP INC;4066;OMC;31/12/2019;2019;INDL;C;D;STD;USD;26783,4;102,2;2122,3;2353,8;2759,7;1339,1;14953,7;A
DUKE ENERGY CORP;4093;DUK;31/12/2019;2019;INDL;C;D;STD;USD;158838;11122;5745;10293;10293;3748;25079;A
DUN & BRADSTREET HOLDNGS INC;4094;DNB;31/12/2019;2019;INDL;C;D;STD;USD;9112,8;12,5;-9;473,4;965,4;-560;1413,9;A
FLOWSERVE CORP;4108;FLS;31/12/2019;2019;INDL;C;D;STD;USD;4919,64;66,17;431,53;535,92;1417;253,67;3944,85;A
EATON CORP PLC;4199;ETN;31/12/2019;2019;INDL;C;D;STD;USD;32805;587;2889;3708;7871;2211;21390;A
ECOLAB INC;4213;ECL;31/12/2019;2019;INDL;C;D;STD;USD;20869,1;800,6;2263,9;3237,2;7194,7;1558,9;14906,3;A
EMERSON ELECTRIC CO;4321;EMR;30/09/2019;2019;INDL;C;D;STD;USD;20497;594;3120;3942;8399;2306;18372;A
EQUIFAX INC;4423;EFX;31/12/2019;2019;INDL;C;D;STD;USD;7909;399,6;503,3;834,4;2005,9;-398,8;3527,6;A
EQT CORP;4430;EQT;31/12/2019;2019;INDL;C;D;STD;USD;18809,23;1602,45;201,03;1775,69;1775,69;-1221,7;4416,48;A
EXPEDITORS INTL WASH INC;4494;EXPD;31/12/2019;2019;INDL;C;D;STD;USD;3691,88;47,02;766,69;817,64;1047,97;590,4;8175,43;A
EXXON MOBIL CORP;4503;XOM;31/12/2019;2019;INDL;C;D;STD;USD;362597;24361;12766;31764;44431;14340;255583;A
FMC CORP;4510;FMC;31/12/2019;2019;INDL;C;D;STD;USD;9872,7;93,9;1070,4;1202,7;2215,9;477,4;4609,8;A
NEXTERA ENERGY INC;4517;NEE;31/12/2019;2019;INDL;C;D;STD;USD;117691;5875;5622;9838;9838;3769;19204;A
FEDEX CORP;4598;FDX;31/05/2019;2018;INDL;C;D;STD;USD;54403;5490;5220;8573;18180;540;69693;A
MACY'S INC;4611;M;31/01/2019;2018;INDL;C;D;STD;USD;19194;657;1485;2447;11486;1108;25739;A
FIFTH THIRD BANCORP;4640;FITB;31/12/2019;2019;INDL;C;D;STD;USD;169369;304;3888;4197;6972;2512;8900;A
REGIONS FINANCIAL CORP;4674;RF;31/12/2019;2019;INDL;C;D;STD;USD;126240;178;2912;2912;5474;1582;6755;A
M & T BANK CORP;4699;MTB;31/12/2019;2019;INDL;C;D;STD;USD;119872,76;178,05;3489,75;3791,07;6015,94;1929,15;6941,27;A
US BANCORP;4723;USB;31/12/2019;2019;INDL;C;D;STD;USD;495426;0;12143;12645;21379;6914;27325;A
FIRST HORIZON CORP;4737;FHN;31/12/2019;2019;INDL;C;D;STD;USD;43310,9;49,16;972,97;1041,59;1817,21;440,91;2278,36;A
FLUOR CORP;4818;FLR;31/12/2019;2019;INDL;C;D;STD;USD;7966,66;180,84;-586,47;-464,29;-305,2;-1522,16;14348,02;A
FORD MOTOR CO;4839;F;31/12/2019;2019;INDL;C;D;STD;USD;258537;7632;5767;15456;28034;47;155900;A
FRANKLIN RESOURCES INC;4885;BEN;30/09/2019;2019;INDL;C;D;STD;USD;14532,2;233,7;1589,4;1687,3;1687,3;1195,7;5774,5;A
GAP INC;4990;GPS;31/01/2019;2018;INDL;C;D;STD;USD;8049;705;1362;1937;6897;1003;16580;A
GENERAL DYNAMICS CORP;5046;GD;31/12/2019;2019;INDL;C;D;STD;USD;48841;987;4648;5391;7802;3484;39350;A
GE AEROSPACE;5047;GE;31/12/2019;2019;INDL;C;D;STD;USD;266048;5813;8799;14394;27886;-4979;95214;A
GENERAL MILLS INC;5071;GIS;31/05/2019;2018;INDL;C;D;STD;USD;30111,2;537,6;2897,8;3517,9;6442,5;1752,7;16865,2;A
GENUINE PARTS CO;5125;GPC;31/12/2019;2019;INDL;C;D;STD;USD;14645,63;297,87;1132,6;1402,89;6325,88;621,09;19392,31;A
GOODYEAR TIRE & RUBBER CO;5234;GT;31/12/2019;2019;INDL;C;D;STD;USD;17185;770;824;1604;3927;-311;14745;A
GRAINGER (W W) INC;5256;GWW;31/12/2019;2019;INDL;C;D;STD;USD;6005;221;1388;1616;4547;849;11486;A
HALLIBURTON CO;5439;HAL;31/12/2019;2019;INDL;C;D;STD;USD;25377;1530;2058;3683;3910;-1131;22408;A
HASBRO INC;5518;HAS;31/12/2019;2019;INDL;C;D;STD;USD;8855,63;133,64;669,83;850,62;2545,77;520,45;4720,23;A
HELMERICH & PAYNE;5581;HP;30/09/2019;2019;INDL;C;D;STD;USD;5839,52;458,4;-12,27;550,53;772,42;-33,66;2787,33;A
HERSHEY CO;5597;HSY;31/12/2019;2019;INDL;C;D;STD;USD;8140,4;318,19;1716,58;1981,37;3889,24;1149,69;7986,25;A
HP INC;5606;HPQ;31/10/2019;2019;INDL;C;D;STD;USD;33467;671;4187;4926;11793;3152;58756;A
HOME DEPOT INC;5680;HD;31/01/2019;2018;INDL;C;D;STD;USD;44003;2442;15777;17853;37366;11121;108203;A
HORMEL FOODS CORP;5709;HRL;31/10/2019;2019;INDL;C;D;STD;USD;8109;293,84;1140,6;1305,36;2049,42;978,81;9497,32;A
CENTERPOINT ENERGY INC;5742;CNP;31/12/2019;2019;INDL;C;D;STD;USD;35439;2506;1477;2764;2764;791;12301;A
HUNTINGTON BANCSHARES;5786;HBAN;31/12/2019;2019;INDL;C;D;STD;USD;109002;107;2003;2389;4365;1411;5640;A
ILLINOIS TOOL WORKS;5878;ITW;31/12/2019;2019;INDL;C;D;STD;USD;15068;326;3402;3828;6189;2521;14109;A
INTEL CORP;6008;INTC;31/12/2019;2019;INDL;C;D;STD;USD;136524;16213;22428;33254;52766;21048;71965;A
INTL BUSINESS MACHINES CORP;6066;IBM;31/12/2019;2019;INDL;C;D;STD;USD;152186;2286;10849;16908;42404;9431;77147;A
INTL FLAVORS & FRAGRANCES;6078;IFF;31/12/2019;2019;INDL;C;D;STD;USD;13287,41;235,98;784,13;1105,19;2248,21;455,87;5140,08;A
INTL PAPER CO;6104;IP;31/12/2019;2019;INDL;C;D;STD;USD;33471;1276;2545;3846;5490;1225;22376;A
INTERPUBLIC GROUP OF COS;6136;IPG;31/12/2019;2019;INDL;C;D;STD;USD;17751,9;198,5;1119,9;1398,4;1492,2;656;10221,3;A
JOHNSON & JOHNSON;6266;JNJ;31/12/2019;2019;INDL;C;D;STD;USD;157728;3498;21121;28130;61663;15119;82059;A
JOHNSON CONTROLS INTL PLC;6268;JCI;30/09/2019;2019;INDL;C;D;STD;USD;42287;586;1223;2048;8518;5674;23968;A
KLA CORP;6304;KLAC;30/06/2019;2019;INDL;C;D;STD;USD;9008,52;130,5;1429,57;1589,57;2824,51;1175,62;4568,9;A
KINDER MORGAN INC;6310;KMI;31/12/2019;2019;INDL;C;D;STD;USD;74157;2270;3928;6339;6339;2190;13209;A
KELLANOVA;6375;K;31/12/2019;2019;INDL;C;D;STD;USD;17564;586;1757;2241;5058;960;13578;A
KIMBERLY-CLARK CORP;6435;KMB;31/12/2019;2019;INDL;C;D;STD;USD;15283;1209;3296;4213;7368;2157;18450;A
KROGER CO;6502;KR;31/01/2019;2018;INDL;C;D;STD;USD;38118;2967;2647;5112;26268;3110;121162;A
LAM RESEARCH CORP;6565;LRCX;30/06/2019;2019;INDL;C;D;STD;USD;12001,33;303,49;2483,25;2792,53;4621,43;2191,43;9653,56;A
LEGGETT & PLATT INC;6649;LEG;31/12/2019;2019;INDL;C;D;STD;USD;4816,4;143,1;523;703,8;1172,6;333,8;4752,5;A
LEGG MASON INC;6653;LM;31/03/2019;2018;INDL;C;D;STD;USD;7794,12;51,34;499,79;572,59;572,59;-28,51;2903,26;A
LENNAR CORP;6669;LEN;30/11/2019;2019;INDL;C;D;STD;USD;29359,51;86,5;2461,18;2639,22;4695,52;1849,05;22259,56;A
LILLY (ELI) & CO;6730;LLY;31/12/2019;2019;INDL;C;D;STD;USD;39286,1;1033,9;5874,1;6914,6;18723,4;8318,4;22319,5;A
LINCOLN NATIONAL CORP;6742;LNC;31/12/2019;2019;INDL;C;D;STD;USD;334761;0;1419;1486;1486;886;17236;A
LOCKHEED MARTIN CORP;6774;LMT;31/12/2019;2019;INDL;C;D;STD;USD;47528;1484;8427;9616;9616;6230;59812;A
LOEWS CORP;6781;L;31/12/2019;2019;INDL;C;D;STD;USD;82243;1041;1510;2453;2453;932;14701;A
RANGE RESOURCES CORP;6788;RRC;31/12/2019;2019;INDL;C;D;STD;USD;6612,4;748,43;-1985,08;-200,9;-2,59;-1716,3;2826,48;A
LOWE'S COS INC;6829;LOW;31/01/2019;2018;INDL;C;D;STD;USD;34508;1174;4837;6211;22913;2314;71309;A
MARATHON OIL CORP;7017;MRO;31/12/2019;2019;INDL;C;D;STD;USD;20245;2550;437;2932;3339;480;4991;A
HOST HOTELS & RESORTS INC;7063;HST;31/12/2019;2019;INDL;C;D;STD;USD;12305;0;840;;947;920;5515;A
MARSH & MCLENNAN COS;7065;MMC;31/12/2019;2019;INDL;C;D;STD;USD;31357;421;3342;3989;3989;1742;16652;A
MASCO CORP;7085;MAS;31/12/2019;2019;INDL;C;D;STD;USD;5027;162;1110;1240;2510;933;6707;A
MATTEL INC;7116;MAT;31/12/2019;2019;INDL;C;D;STD;USD;5325,23;116,35;136,13;380,65;2231,26;-213,51;4510,37;A
MCCORMICK & CO INC;7146;MKC;30/11/2019;2019;INDL;C;D;STD;USD;10362,1;173,7;978,5;1126,1;2292,9;702,7;5347,4;A
MCDONALD'S CORP;7154;MCD;31/12/2019;2019;INDL;C;D;STD;USD;47510,8;2393,7;8885,9;10278,1;12507,5;6025,4;21076,5;A
MCKESSON CORP;7171;MCK;31/03/2019;2018;INDL;C;D;STD;USD;59672;426;3014;3816;11873;34;214319;A
MEDTRONIC PLC;7228;MDT;30/04/2019;2018;INDL;C;D;STD;USD;89694;1134;7249;9908;22395;4631;30557;A
CVS HEALTH CORP;7241;CVS;31/12/2019;2019;INDL;C;D;STD;USD;222449;2457;12672;17043;47463;6634;256776;A
MERCK & CO;7257;MRK;31/12/2019;2019;INDL;C;D;STD;USD;84397;3473;14526;17972;37165;9843;46840;A
MICRON TECHNOLOGY INC;7343;MU;31/08/2019;2019;INDL;C;D;STD;USD;48887;9780;7425;12765;16042;6313;23406;A
ENTERGY CORP;7366;ETR;31/12/2019;2019;INDL;C;D;STD;USD;51723,91;4486,64;1680,52;3561,34;3561,34;1258,24;10878,67;A
3M CO;7435;MMM;31/12/2019;2019;INDL;C;D;STD;USD;44659;1699;7068;8661;16993;4570;32136;A
MOTOROLA SOLUTIONS INC;7585;MSI;31/12/2019;2019;INDL;C;D;STD;USD;10642;248;1650;2044;4134;868;7887;A
MURPHY OIL CORP;7620;MUR;31/12/2019;2019;INDL;C;D;STD;USD;11718,5;2556,59;470,61;1686,93;1986,8;1149,73;2816,26;A
BANK OF AMERICA CORP;7647;BAC;31/12/2019;2019;INDL;C;D;STD;USD;2434079;0;47360;49089;87654;27430;113589;A
TENET HEALTHCARE CORP;7750;THC;31/12/2019;2019;INDL;C;D;STD;USD;23351;670;1679;2529;2529;-232;18479;A
NEWELL BRANDS INC;7875;NWL;31/12/2019;2019;INDL;C;D;STD;USD;15642;264,9;844,4;1290,4;3701,1;106,6;9714,9;A
NEWMONT CORP;7881;NEM;31/12/2019;2019;INDL;C;D;STD;USD;39974;1463;1541;3781;4509;2805;9740;A
NIKE INC  -CL B;7906;NKE;31/05/2019;2018;INDL;C;D;STD;USD;23717;1119;4772;5477;18179;4029;39117;A
NOBLE ENERGY INC;7912;NBL;31/12/2019;2019;INDL;C;D;STD;USD;20647;2524;-1756;441;1059;-1512;3904;I
NORDSTROM INC;7922;JWN;31/01/2019;2018;INDL;C;D;STD;USD;7886;654;909;1581;6377;564;15860;A
NORFOLK SOUTHERN CORP;7923;NSC;31/12/2019;2019;INDL;C;D;STD;USD;37923;2019;3957;5095;5095;2722;11296;A
NISOURCE INC;7974;NI;31/12/2019;2019;INDL;C;D;STD;USD;22659,8;1802,4;1071,6;1789;1789;383,1;5208,9;A
XCEL ENERGY INC;7977;XEL;31/12/2019;2019;INDL;C;D;STD;USD;50448;4225;2104;3869;3869;1372;11529;A
NORTHERN TRUST CORP;7982;NTRS;31/12/2019;2019;INDL;C;D;STD;USD;136828,4;158;3201,6;3660,5;6087,6;1492,2;6895,1;A
NORTHROP GRUMMAN CORP;7985;NOC;31/12/2019;2019;INDL;C;D;STD;USD;41089;1264;3969;4987;8277;2248;33841;A
WELLS FARGO & CO;8007;WFC;31/12/2019;2019;INDL;C;D;STD;USD;1927555;0;40122;40122;80914;19549;102453;A
NUCOR CORP;8030;NUE;31/12/2019;2019;INDL;C;D;STD;USD;18344,67;1477,29;1934,14;2668,79;3413,74;1271,14;22588,86;A
OCCIDENTAL PETROLEUM CORP;8068;OXY;31/12/2019;2019;INDL;C;D;STD;USD;109330;6355;3913;9894;11022;-667;20393;A
FIRSTENERGY CORP;8099;FE;31/12/2019;2019;INDL;C;D;STD;USD;42301;2665;2510;3651;3651;912;11035;A
ONEOK INC;8151;OKE;31/12/2019;2019;INDL;C;D;STD;USD;21812,12;3848,35;1916,93;2393,46;2393,46;1278,58;10164,37;A
O-I GLASS INC;8215;OI;31/12/2019;2019;INDL;C;D;STD;USD;9610;426;675;1119;1624;-400;6703;A
PNC FINANCIAL SVCS GROUP INC;8245;PNC;31/12/2019;2019;INDL;C;D;STD;USD;410295;0;8048;9363;17054;5369;21624;A
PPG INDUSTRIES INC;8247;PPG;31/12/2019;2019;INDL;C;D;STD;USD;17708;413;1954;2465;6501;1243;15154;A
PACCAR INC;8253;PCAR;31/12/2019;2019;INDL;C;D;STD;USD;28361,1;1970,8;3205,4;4282,7;5323,2;2387,9;25599,7;A
PG&E CORP;8264;PCG;31/12/2019;2019;INDL;C;D;STD;USD;85196;6313;2879;6113;6113;-7642;17129;A
SEMPRA ENERGY;8272;SRE;31/12/2019;2019;INDL;C;D;STD;USD;65665;3708;2627;4196;4196;2198;10829;A
PARKER-HANNIFIN CORP;8358;PH;30/06/2019;2019;INDL;C;D;STD;USD;17576,69;195,09;2117,88;2548,72;4062,33;1512,36;14320,32;A
PAYCHEX INC;8402;PAYX;31/05/2019;2018;INDL;C;D;STD;USD;8676;123,8;1376,6;1558,1;2776,2;1034,4;3772,5;A
PPL CORP;8455;PPL;31/12/2019;2019;INDL;C;D;STD;USD;45680;3083;2845;4044;4044;1746;7769;A
PEPSICO INC;8479;PEP;31/12/2019;2019;INDL;C;D;STD;USD;78547;4232;10714;13146;39610;7314;67161;A
PFIZER INC;8530;PFE;31/12/2019;2019;INDL;C;D;STD;USD;167489;2176;14247;20257;43021;16273;51750;A
EXELON CORP;8539;EXC;31/12/2019;2019;INDL;C;D;STD;USD;124977;7248;4690;8942;8942;2936;34438;A
ALTRIA GROUP INC;8543;MO;31/12/2019;2019;INDL;C;D;STD;USD;49271;246;10533;10759;12895;-1293;19796;A
CONOCOPHILLIPS;8549;COP;31/12/2019;2019;INDL;C;D;STD;USD;70514;6636;6330;13372;14450;7189;32567;A
PITNEY BOWES INC;8606;PBI;31/12/2019;2019;INDL;C;D;STD;USD;5466,9;137,25;227,74;386,88;1442,13;194,61;3205,13;A
PROCTER & GAMBLE CO;8762;PG;30/06/2019;2019;INDL;C;D;STD;USD;115095;3347;14566;17390;36261;3897;67684;A
PUBLIC SERVICE ENTRP GRP INC;8810;PEG;31/12/2019;2019;INDL;C;D;STD;USD;47730;3166;1959;3207;3207;1693;10076;A
PULTEGROUP INC;8823;PHM;31/12/2019;2019;INDL;C;D;STD;USD;10715,6;58,12;1348,35;1402,35;2424,07;1016,7;10212,96;A
RAYTHEON CO;8972;RTN;31/12/2019;2019;INDL;C;D;STD;USD;34566;942;4804;5409;8347;3343;29176;I
AUTONATION INC;9063;AN;31/12/2019;2019;INDL;C;D;STD;USD;10543,3;269,3;798,5;979;3523;450;21335,7;A
ROCKWELL AUTOMATION;9203;ROK;30/09/2019;2019;INDL;C;D;STD;USD;6113;132,8;1361,6;1513,8;3052,3;695,8;6694,8;A
ROSS STORES INC;9248;ROST;31/01/2019;2018;INDL;C;D;STD;USD;6073,69;413,9;2040,71;2371,07;4587,62;1587,46;14983,54;A
RYDER SYSTEM INC;9299;R;31/12/2019;2019;INDL;C;D;STD;USD;14475,33;3735,17;341,15;2228,08;3135,53;-24,41;8925,8;A
SCHLUMBERGER LTD;9465;SLB;31/12/2019;2019;INDL;C;D;STD;USD;56312;1955;3006;5888;7079;-10137;32917;A
SEALED AIR CORP;9555;SEE;31/12/2019;2019;INDL;C;D;STD;USD;5765,2;189,7;743;893,9;1686,8;263;4791,1;A
SHERWIN-WILLIAMS CO;9667;SHW;31/12/2019;2019;INDL;C;D;STD;USD;20496,2;328,9;2448,4;3023,3;8298,2;1541,3;17900,8;A
SMUCKER (JM) CO;9777;SJM;30/04/2019;2018;INDL;C;D;STD;USD;16711,3;359,8;1166,8;1611,9;3120,5;514,4;7838;A
SNAP-ON INC;9778;SNA;31/12/2019;2019;INDL;C;D;STD;USD;5693,5;99,4;950,7;1043,1;2182,3;693,5;4067,7;A
KEYCORP;9783;KEY;31/12/2019;2019;INDL;C;D;STD;USD;144988;85;3157;3157;5923;1717;7694;A
EDISON INTERNATIONAL;9846;EIX;31/12/2019;2019;INDL;C;D;STD;USD;64382;4877;2145;3875;3875;1405;12347;A
SOUTHERN CO;9850;SO;31/12/2019;2019;INDL;C;D;STD;USD;118700;7555;5359;8397;8397;4754;21419;A
SOUTHWEST AIRLINES;9882;LUV;31/12/2019;2019;INDL;C;D;STD;USD;25895;1027;3081;4300;7326;2300;22428;A
AT&T INC;9899;T;31/12/2019;2019;INDL;C;D;STD;USD;551669;19635;31069;59286;97124;13903;181265;A
SOUTHWESTERN ENERGY CO;9904;SWN;31/12/2019;2019;INDL;C;D;STD;USD;6717;1099;303;774;774;891;3038;A
STANLEY BLACK & DECKER INC;10016;SWK;31/12/2019;2019;INDL;C;D;STD;USD;20596,6;424,7;1756,3;2316,5;5218;955,8;14442,2;A
STATE STREET CORP;10035;STT;31/12/2019;2019;INDL;C;D;STD;USD;245610;730;5767;6845;11746;2242;13131;A
PUBLIC STORAGE;10096;PSA;31/12/2019;2019;INDL;C;D;STD;USD;11365,44;0;1563,12;;1635,11;1520,53;2944,81;A
